band_name,study_city_label,claimed_formation_place,origin_review_status,origin_alignment,origin_evidence_url,origin_confidence,spotify_id,spotify_name_prior,spotify_expected_name,musicbrainz_id,wikidata_id,catalogue_source,selection_source,notes,uk_population_rank,fua_code,official_fua_name,population_year,population,territorial_definition,source_dataset_url,catalogue_review_ready,band,city,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access
Blur,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/ba853904-ae25-4ebb-89d6-c44cfbd71bd2,high,7MhMgCo0Bl0Kukl93PZbYS,Blur,Blur,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,,reused balanced 100-band catalogue,existing_shortlist,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Blur,London,Blur,14009757,4274924,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Coldplay,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,high,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,,reused balanced 100-band catalogue,existing_shortlist,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Coldplay,London,Coldplay,92034104,64732379,11,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Fleetwood Mac,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/bd13909f-1c29-4c27-a874-d4aaf27c5b1a,high,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,Fleetwood Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,,reused balanced 100-band catalogue,agent_addition,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Fleetwood Mac,London,Fleetwood Mac,50959935,15546243,66,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Florence and the Machine,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/5fee3020-513b-48c2-b1f7-4681b01db0c6,high,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,Florence + The Machine,5fee3020-513b-48c2-b1f7-4681b01db0c6,,reused balanced 100-band catalogue,existing_shortlist,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Florence and the Machine,London,Florence + The Machine,25836943,7587105,296,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Led Zeppelin,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/678d88b2-87b0-403b-b63d-5da7465aecc3,high,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3,,reused balanced 100-band catalogue,agent_addition,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Led Zeppelin,London,Led Zeppelin,20605707,16927470,426,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Pink Floyd,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/83d91898-7763-47d7-b03b-b92132375c47,high,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,Pink Floyd,83d91898-7763-47d7-b03b-b92132375c47,,reused balanced 100-band catalogue,popularity_first_replacement,Replaces The Kinks after comparison with the audited popularity-first catalogue.,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Pink Floyd,London,Pink Floyd,26546155,24145634,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Queen,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/0383dadf-2a4e-4d10-a46a-e9e041da8eb3,high,1dfeR4HaWDbWqFHLkxsg1d,Queen,Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,,reused balanced 100-band catalogue,agent_addition,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Queen,London,Queen,51601234,58004701,64,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Clash,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/8f92558c-2baa-4758-8c38-615519e9deda,high,3RGLhK1IP9jnYFH4BRFJBS,The Clash,The Clash,8f92558c-2baa-4758-8c38-615519e9deda,,reused balanced 100-band catalogue,popularity_first_replacement,Replaces The Who after comparison with the audited popularity-first catalogue.,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Clash,London,The Clash,14589467,3508323,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Police,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/9e0e2b01-41db-4008-bd8b-988977d6019a,high,5NGO30tJxFlKixkPSgXcFE,The Police,The Police,9e0e2b01-41db-4008-bd8b-988977d6019a,,reused balanced 100-band catalogue,popularity_first_replacement,Originally replaced The Clash after catalogue comparison; The Clash was later restored in place of The Who.,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Police,London,The Police,39887109,8458469,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Rolling Stones,London,London,reviewed,existing_catalogue,https://musicbrainz.org/artist/b071f9fa-14b0-4217-8e97-eb41da73f598,high,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,The Rolling Stones,b071f9fa-14b0-4217-8e97-eb41da73f598,,reused balanced 100-band catalogue,existing_shortlist,,1,UK001F,London,2024,12666099,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Rolling Stones,London,The Rolling Stones,30690194,16651560,204,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
